operation_code,kind,stage,semantic_unit,count_formula,bound_type,alternative,assumption_or_blocker,accounting_role
rel.repeat_missingness_lookups_upper,reliability,outer_dgp,bernoulli_lookups,I_R3*(R*Dmax),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_repeat_missingness_lookup_per_instrument_repeat,standalone_semantic_unit
rel.bootstrap_index_words,reliability,bootstrap,uint64_words,I_R3*(R*B*N),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;fixed_cluster_resamples;all_B_consumed,standalone_semantic_unit
rel.bootstrap_index_formations,reliability,bootstrap,index_formations,I_R3*(R*B*N),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_index_formation_per_word,standalone_semantic_unit
rel.statistic_recomputations,reliability,analysis,statistic_recomputations,I_R3*(R*(B+1)),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;point_plus_all_bootstrap_alpha_recomputations,standalone_semantic_unit
rel.percentile_selections,reliability,analysis,order_selections,I_R3*(R),conditional_upper_bound,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;no_order_statistic_if_any_bootstrap_alpha_is_undefined,standalone_semantic_unit
rel.outer_point_descriptive_reductions,reliability,analysis,point_descriptive_reduction_assemblies,I_R3*(M_c),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_per_unique_integrity_valid_committed_outer_record;computes_macro_agreement_K_applicable_positive_agreements_K_applicable_prevalences_overall_missingness_and_reader_and_presentation_arm_minima_maxima_and_spans;excludes_alpha_point_or_bootstrap_recomputation_and_classification,composite_point_output_reduction
rel.outer_classification_assemblies,reliability,analysis,state_event_failure_status_assemblies,I_R3*(M_c),conditional_exact,composite_outer_classification,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_per_committed_outer_record;includes_all_applicable_finite_denominator_threshold_coverage_allocation_missingness_and_bootstrap_undefined_comparisons_two_bit_slot_states_event_bits_failure_component_mask_and_primary_status_precedence;excludes_estimator_computation_aggregate_tally_and_serialization,composite_control_classification_do_not_add_future_granular_comparison_or_mask_rows
rel.missing_endpoint_residual_evaluations,reliability,static_truth,residual_evaluations,2_or_0,exact,nonzero_reader_or_class_mode,two_frozen_endpoints_before_any_midpoint;the_signed_residual_direction_and_nonfinite_semantics_are_owner_blocked,diagnostic_component_of_total_residual_evaluations_do_not_add
rel.missing_bracket_checks,reliability,static_truth,bracket_check_and_state_emission,1_or_0,exact,nonzero_reader_or_class_mode,one_endpoint_sign_bracket_check_is_scheduled_for_each_required_solve;the_signed_residual_direction_inclusive_endpoint_zero_predicate_and_nonfinite_semantics_are_owner_blocked_so_required_pass_or_fail_state_remains_NOT_REACHED_until_frozen;not_required_for_m=0_or_MCAR_is_assembled_by_static_classification,standalone_semantic_unit
rel.missing_midpoint_controls,reliability,static_truth,bisection_midpoint_and_cache_update_events,100_or_0,upper_bound,nonzero_reader_or_class_mode,zero_if_the_owner_frozen_endpoint_bracket_fails;otherwise_at_most_100_midpoint_evaluations_and_retained_bracket_cache_updates;midpoint_residual_zero_equality_endpoint_replacement_update_and_post_100_final_candidate_selection_rules_remain_owner_blocked,standalone_semantic_unit
rel.missing_residual_evaluations,reliability,static_truth,residual_evaluations,102_or_0,upper_bound,nonzero_reader_or_class_mode,two_endpoints_plus_at_most_100_midpoints;the_signed_residual_direction_inclusive_bracket_predicate_midpoint_equality_and_endpoint_update_rules_are_owner_blocked,standalone_semantic_unit
rel.missing_final_candidate_selection_events,reliability,static_truth,final_cached_candidate_selection_events,1_or_0,upper_bound,missingness_bisection_owner_choice,at_most_one_for_each_nonzero_reader_or_class_missingness_cell_after_an_owner_frozen_passing_bracket_and_100_midpoint_updates;selects_one_cached_intercept_and_paired_signed_residual;the_residual_sign_bracket_predicate_midpoint_equality_update_endpoint_or_midpoint_candidate_choice_and_tie_rule_are_not_frozen,standalone_final_missingness_selection_blocker
rel.missing_expit_constructions,reliability,static_truth,expit_calls,102*A_or_0,upper_bound,nonzero_reader_or_class_mode,two_endpoints_plus_at_most_100_midpoints,composite_expit_alternative_do_not_sum_with_primitive_exp
rel.missing_expit_exp_calls,reliability,static_truth,exp_calls,102*A_or_0,upper_bound,primitive_expit_path,one_exponential_per_expit_evaluation,primitive_expit_alternative_do_not_sum_with_composite
rel.quadrature_node_reductions,reliability,static_truth,node_truth_reduction_assemblies,I_missing*(41+61),conditional_exact,all,I_missing=1_for_no_solve_or_successful_missingness_solve;each_node_performs_fixed_order_weighted_accumulator_updates_for_integrated_alpha_macro_agreement_and_all_K_applicable_positive_agreements_and_the_last_node_emits_that_orders_final_truth_values;41_and_61_orders_are_separate,composite_truth_output_reduction_do_not_add_future_per_metric_accumulator_rows
rel.quadrature_probability_constructions,reliability,static_truth,softmax_vectors,I_missing*102*A,conditional_exact,all,I_missing=1_for_no_solve_or_successful_missingness_solve;both_declared_orders,composite_softmax_alternative_do_not_sum_with_primitive_components
rel.quadrature_softmax_exp_calls,reliability,static_truth,exp_calls,I_missing*102*A*K,conditional_exact,primitive_softmax_path,K_exponentials_per_assignment_weighted_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
rel.quadrature_softmax_normalizations,reliability,static_truth,probability_normalizations,I_missing*102*A,conditional_exact,primitive_softmax_path,one_normalization_per_assignment_weighted_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
rel.quadrature_softmax_logsumexp_calls,reliability,static_truth,logsumexp_calls,I_missing*102*A,conditional_upper_bound,optional_reference_softmax_path,zero_if_direct_stable_normalization_is_frozen,optional_primitive_subalternative_do_not_add_without_reference_lock
rel.reader_effect_inverse_normal,reliability,static_truth,inverse_normal_calls,roster*K,exact,all,frozen_roster_and_axis_categories,standalone_semantic_unit
rel.reader_effect_vector_normalizations,reliability,static_truth,finite_roster_normalizations,K,exact,all,one_mean_population_SD_normalization_per_category_vector,standalone_semantic_unit
rel.missing_reader_effect_inverse_normal,reliability,static_truth,inverse_normal_calls,roster_or_0,exact,nonzero_reader_missingness_only,separate_tagged_reader_permutation,standalone_semantic_unit
rel.missing_reader_vector_normalizations,reliability,static_truth,finite_roster_normalizations,1_or_0,exact,nonzero_reader_missingness_only,one_mean_population_SD_normalization,standalone_semantic_unit
rel.truth_reference_selection_events,reliability,static_classification,truth_reference_selection_events,unresolved,unresolved,truth_reference_owner_choice,41_vs_61_or_other_prospective_selection_rule_and_per_component_behavior_not_frozen,standalone_semantic_unit
rel.static_classification_assemblies,reliability,static_classification,static_state_failure_classification_assemblies,1,exact,composite_static_classification,one_per_manifest_candidate;includes_reached_41_61_delta_construction_1e-6_checks_four_fixed_class_slot_states_missingness_bracket_state_and_iteration_count_assembly_from_realized_controls_owner_blocked_final_intercept_residual_and_truth_states_required_missingness_solve_pass_iff_bracket_and_selection_are_reached_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10_with_finite_above_tolerance_residual_retained_as_VALUE_but_static_failure_and_I_R3=0_null_boundary_class_ALTERNATIVE_iff_alpha>0.67_macro>0.80_and_all_applicable_positive>0.70_BOUNDARY_iff_none_below_and_any_exactly_equal_else_NULL_if_any_below_using_exact_binary64_values_planning_truth_eligibility_true_iff_manifest_planning_member_and_alpha>0.80_macro>0.85_and_all_applicable_positive>0.75_else_false_for_finite_required_truths_I_R3_requires_true_for_planning_member_and_first_static_failure_precedence;excludes_numerical_bisection_quadrature_final_candidate_selection_and_owner_truth_selection_work,composite_control_classification_do_not_add_future_granular_static_state_or_comparison_rows
rel.aggregate_interval_calls_lower,reliability,aggregate,exact_binomial_intervals,I_R3*(I_complete*(11+K+I_planning)),conditional_lower_bound,rel_interval_envelope,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;I_complete=1_required;false_promotion_applicability_requires_final_truth,composite_interval_envelope_lower_do_not_sum_with_upper_or_primitive_quantiles
rel.aggregate_interval_calls_upper,reliability,aggregate,exact_binomial_intervals,I_R3*(I_complete*(12+K+I_planning)),conditional_upper_bound,rel_interval_envelope,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;I_complete=1_required;includes_possible_false_promotion_interval,composite_interval_envelope_upper_do_not_sum_with_lower_or_primitive_quantiles
rel.aggregate_beta_quantile_calls_upper,reliability,aggregate,beta_quantile_calls,I_R3*(I_complete*(2*(11+K)+I_planning+I_false)),conditional_upper_bound,primitive_exact_binomial_path,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;I_complete=1_required;two_quantiles_per_two_sided_interval_and_one_per_one_sided_planning_or_applicable_false_promotion_interval;boundary_success_counts_can_reduce_realized_calls,primitive_interval_alternative_do_not_sum_with_composite_interval_calls
rel.aggregate_completion_identity_checks,reliability,aggregate,bitmap_and_record_identity_checks,I_R3*(R),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_expected_outer_identity_check_against_completion_bitmap_unique_canonical_record_and_integrity_digest;I_complete_requires_all_R,standalone_semantic_unit
rel.aggregate_base_counter_updates,reliability,aggregate,boolean_counter_updates,I_R3*(I_complete*R*(11+K)),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;I_complete=1_required_after_full_identity_scan;eleven_plus_K_unique_base_Bernoulli_counters;complete_gate_counter_is_reused_by_false_promotion_and_planning_without_second_tally,shared_base_counter_tally
rel.aggregate_undefined_bootstrap_sum_additions,reliability,aggregate,integer_accumulations,I_R3*(I_complete*R),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;I_complete=1_required_after_full_identity_scan;one_undefined_bootstrap_count_addition_per_committed_outer_record_for_descriptive_sum,standalone_semantic_unit
rel.aggregate_proportion_evaluations,reliability,aggregate,binary64_divisions,I_R3*(I_complete*(11+K)),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;I_complete=1_required;one_x_divided_by_fixed_R_for_each_distinct_base_event_proportion;complete_gate_proportion_is_reused_by_false_promotion_and_planning_outputs_without_an_extra_division,shared_distinct_proportion_evaluations
rel.aggregate_undefined_bootstrap_fraction_divisions,reliability,aggregate,binary64_divisions,I_R3*(I_complete),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;I_complete=1_required;one_sum_undefined_divided_by_fixed_R_times_B_for_the_descriptive_fraction;disjoint_from_binary_event_proportions_and_CP_intervals,standalone_descriptive_fraction
rel.aggregate_record_classification_assemblies,reliability,aggregate_audit,aggregate_state_applicability_status_assemblies,1,exact,composite_aggregate_classification,one_per_manifest_candidate_even_when_I_R3=0_or_I_complete=0;assembles_all_structural_applicability_NOT_REACHED_VALUE_trials_interval_and_cell_status_fields_from_frozen_static_completion_integrity_and_numerical_outputs;excludes_tallies_proportion_evaluations_undefined_fraction_division_intervals_and_serialization,composite_control_classification_do_not_add_future_granular_aggregate_state_rows
rel.repeat_metric_evaluations,reliability,analysis,metric_evaluations,unresolved,unresolved,owner_choice,repeat_estimators_not_frozen,standalone_semantic_unit
rel.outer_seed_derivations,reliability,outer_identity,hmac_seed_derivations,I_R3*(2*R),conditional_exact,planned_complete_path_I_complete=1,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_outer_DGP_and_one_analysis_bootstrap_seed_per_scheduled_identity;discarded_retry_derivations_are_in_unresolved_attempt_work,standalone_semantic_unit
rel.outer_payload_hashes,reliability,serialization,sha256_calls,I_R3*(M_c),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_hash_per_committed_exact_336_byte_canonical_scientific_record_with_digest_slot_zero;mutable_execution_sidecar_excluded,standalone_semantic_unit
rel.outer_record_serializations,reliability,serialization,record_serializations,I_R3*(M_c),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_336_byte_record_per_unique_integrity_valid_committed_outer_identity,standalone_semantic_unit
rel.outer_record_bytes,reliability,serialization,bytes,I_R3*(336*M_c),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;fixed_TB0011_core_width_times_committed_record_count,standalone_semantic_unit
rel.completion_bitmap_updates,reliability,checkpoint,bit_updates,I_R3*(M_c),conditional_exact,all,missingness_solve_pass=1_for_m=0_or_MCAR_else_1_iff_owner_frozen_bracket_and_final_selection_are_reached_and_finite_and_abs_selected_signed_residual_less_than_or_equal_to_1e-10;planning_truth_eligibility=VALUE_true_iff_manifest_planning_member_and_final_alpha>0.80_and_final_macro>0.85_and_every_applicable_final_positive>0.75;I_R3=1_iff_missingness_solve_pass_and_quadrature_estimable_and_(planning=0_or_planning_truth_eligibility=VALUE_true);false_promotion_low_truth_not_pruned;one_final_completion_bit_update_per_unique_integrity_valid_committed_outer_identity,standalone_semantic_unit
rel.chunk_journal_records,reliability,checkpoint,record_serializations,unresolved,unresolved,chunk_policy,chunk_size_retry_and_commit_policy_not_frozen,standalone_semantic_unit
rel.failure_detail_records,reliability,failure_audit,record_serializations,unresolved,unresolved,realized_failures,failure_message_taxonomy_and_realized_failures_not_frozen,standalone_semantic_unit
rel.execution_attempt_records,reliability,restart,record_serializations,unresolved,unresolved,resource_policy,one_32_byte_sidecar_record_per_scheduled_REL_STATIC_REL_OUTER_RANGE_or_reliability_CELL_AGGREGATE_attempt;disjoint_from_MV_and_global_family_work;chunking_deadline_retry_and_infrastructure_failure_process_not_frozen,standalone_semantic_unit
rel.execution_attempt_record_bytes,reliability,restart,bytes,unresolved,unresolved,resource_policy,32_bytes_per_scheduled_atomic_work_unit_attempt_but_attempt_occurrence_not_frozen,standalone_semantic_unit
mv.outer_records,mv1,outer,records,M_c,conditional_exact,all,M_c_is_unique_integrity_valid_committed_outer_identity_count_between_0_and_R;M_c=0_if_not_outer_eligible;I_complete_iff_M_c=R_and_no_integrity_mismatch,shape_denominator_do_not_allocate_as_compute
mv.dgp_words,mv1,outer_dgp,uint64_words,R*(66*n+4*D),upper_bound,all_candidates_calibrate,D=10*ceil(0.3*n),standalone_semantic_unit
mv.open_unit_conversions,mv1,outer_dgp,uint64_to_open_unit,R*(66*n+4*D),upper_bound,all_candidates_calibrate,one_conversion_per_raw_word,standalone_semantic_unit
mv.outer_first_presentation_events,mv1,outer_dgp,presentation_events,R*20*n,upper_bound,all_candidates_calibrate,ten_readers_by_two_screen_strata,shape_denominator_do_not_allocate_as_compute
mv.outer_repeat_events,mv1,outer_dgp,repeat_events,R*D,upper_bound,all_candidates_calibrate,D=10*ceil(0.3*n),shape_denominator_do_not_allocate_as_compute
mv.outer_evaluability_block_reductions,mv1,outer_dgp,eligibility_reductions,R*2*n,upper_bound,all_candidates_calibrate,one_complete_E_predicate_per_screened_candidate,standalone_semantic_unit
mv.outer_four_of_five_panel_reductions,mv1,outer_dgp,panel_vote_reductions,R*4*n,upper_bound,all_candidates_calibrate,two_sibling_panels_per_screened_candidate,standalone_semantic_unit
mv.outer_panel_mean_reductions,mv1,outer_dgp,panel_mean_reductions,R*4*n,upper_bound,all_candidates_calibrate,two_five_reader_panel_means_per_screened_candidate,standalone_semantic_unit
mv.outer_patient_q_reductions,mv1,outer_dgp,patient_q_reductions,R*2*n,upper_bound,all_candidates_calibrate,one_q_value_per_evaluable_candidate_at_most,standalone_semantic_unit
mv.static_reader_effect_inverse_normal,mv1,static_probability,inverse_normal_calls,30,exact,all,probability_coverage_and_state_vectors_each_have_ten_readers,standalone_semantic_unit
mv.static_reader_vector_normalizations,mv1,static_probability,finite_roster_normalizations,3,exact,all,probability_coverage_and_state_vectors_each_get_mean_population_SD_normalization,standalone_semantic_unit
mv.static_state_log_values,mv1,static_probability,log_calls,3,exact,all,correct_opposite_ambiguous_base_logits,standalone_semantic_unit
mv.outer_screen_fidelity_lookups,mv1,outer_dgp,bernoulli_lookups,R*2*n,upper_bound,all_candidates_calibrate,one_assigned_state_lookup_per_screened_candidate,standalone_semantic_unit
mv.outer_q_beta_inverse,mv1,outer_dgp,beta_inverse_calls,R*2*n_or_0,upper_bound,beta_candidates_only,zero_for_two_point_candidates,standalone_semantic_unit
mv.outer_q_two_point_lookup,mv1,outer_dgp,two_point_lookups,R*2*n_or_0,upper_bound,two_point_candidates_only,zero_for_beta_candidates,standalone_semantic_unit
mv.outer_patient_normal_inverse,mv1,outer_dgp,inverse_normal_calls,R*2*n,upper_bound,all_candidates_calibrate,one_shared_patient_state_effect_per_candidate,standalone_semantic_unit
mv.outer_rating_normal_inverse,mv1,outer_dgp,inverse_normal_calls,R*20*n,upper_bound,all_candidates_calibrate,one_probability_noise_transform_per_first_presentation,standalone_semantic_unit
mv.outer_coverage_expit,mv1,outer_dgp,expit_calls,R*20*n,upper_bound,all_candidates_calibrate,one_coverage_probability_per_first_presentation,composite_expit_alternative_do_not_sum_with_primitive_exp
mv.outer_coverage_exp_calls,mv1,outer_dgp,exp_calls,R*20*n,upper_bound,primitive_expit_path,one_exponential_per_coverage_expit,primitive_expit_alternative_do_not_sum_with_composite
mv.outer_coverage_lookup,mv1,outer_dgp,bernoulli_lookups,R*20*n,upper_bound,all_candidates_calibrate,coverage_word_consumed_for_every_first_presentation,standalone_semantic_unit
mv.outer_state_softmax,mv1,outer_dgp,softmax_vectors,R*20*n,upper_bound,all_candidates_calibrate,one_state_probability_vector_per_first_presentation,composite_softmax_alternative_do_not_sum_with_primitive_components
mv.outer_state_softmax_exp_calls,mv1,outer_dgp,exp_calls,3*R*20*n,upper_bound,primitive_softmax_path,three_exponentials_per_state_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
mv.outer_state_softmax_normalizations,mv1,outer_dgp,probability_normalizations,R*20*n,upper_bound,primitive_softmax_path,one_normalization_per_state_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
mv.outer_state_softmax_logsumexp_calls,mv1,outer_dgp,logsumexp_calls,R*20*n,upper_bound,optional_reference_softmax_path,zero_if_direct_stable_normalization_is_frozen,optional_primitive_subalternative_do_not_add_without_reference_lock
mv.outer_state_lookup,mv1,outer_dgp,categorical_lookups,R*20*n,upper_bound,all_candidates_calibrate,state_word_consumed_for_every_first_presentation,standalone_semantic_unit
mv.outer_clip_round,mv1,outer_dgp,clip_round_events,R*20*n,upper_bound,all_candidates_calibrate,one_probability_clip_round_per_recorded_first_presentation_at_most,standalone_semantic_unit
mv.repeat_rating_normal_inverse,mv1,outer_dgp,inverse_normal_calls,R*D,upper_bound,all_candidates_calibrate,fresh_probability_noise_per_repeat,standalone_semantic_unit
mv.repeat_coverage_expit,mv1,outer_dgp,expit_calls,R*D,upper_bound,all_candidates_calibrate,one_coverage_probability_per_repeat,composite_expit_alternative_do_not_sum_with_primitive_exp
mv.repeat_coverage_exp_calls,mv1,outer_dgp,exp_calls,R*D,upper_bound,primitive_expit_path,one_exponential_per_coverage_expit,primitive_expit_alternative_do_not_sum_with_composite
mv.repeat_coverage_lookup,mv1,outer_dgp,bernoulli_lookups,R*D,upper_bound,all_candidates_calibrate,coverage_word_consumed_for_every_repeat,standalone_semantic_unit
mv.repeat_state_softmax,mv1,outer_dgp,softmax_vectors,R*D,upper_bound,all_candidates_calibrate,one_original_state_probability_vector_per_repeat,composite_softmax_alternative_do_not_sum_with_primitive_components
mv.repeat_state_softmax_exp_calls,mv1,outer_dgp,exp_calls,3*R*D,upper_bound,primitive_softmax_path,three_exponentials_per_state_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
mv.repeat_state_softmax_normalizations,mv1,outer_dgp,probability_normalizations,R*D,upper_bound,primitive_softmax_path,one_normalization_per_state_probability_vector,primitive_softmax_alternative_do_not_sum_with_composite
mv.repeat_state_softmax_logsumexp_calls,mv1,outer_dgp,logsumexp_calls,R*D,upper_bound,optional_reference_softmax_path,zero_if_direct_stable_normalization_is_frozen,optional_primitive_subalternative_do_not_add_without_reference_lock
mv.repeat_match_lookup,mv1,outer_dgp,bernoulli_lookups,R*D,upper_bound,all_candidates_calibrate,match_word_consumed_for_every_repeat,standalone_semantic_unit
